time,Open,High,Low,Close,Volume,returns,volatility,price,quote_qty,is_buyer_maker,quote_qty_cal,Short_MA_6,Long_MA_13,MACD_613,Signal_Line_4,MACD_Oscillator613,Short_MA_12,Long_MA_26,MACD_1226,Signal_Line_9,MACD_Oscillator1226,atr,highest_high,lowest_low,%K,%D,upper_band,lower_band
2023-03-24 11:00,28028.2,28082.8,27312.5,27558.4,59220.835,-0.016758182,0.006981278,27732.73017,24486.68482,203874,1642355437,27947.05056,28045.38566,-98.33509555,-38.7411616,-59.59393395,28040.57502,28027.87883,12.69619592,82.78454412,-70.0883482,232.0642857,28439,27312.5,21.82867288,21.13939302,28475.17063,27871.05553
2023-03-24 12:00,27558.4,28167,27523,27965.7,58456.469,0.014779523,0.007873569,27879.18909,21719.11262,205326,1629718953,27952.37897,28034.00199,-81.62301957,-55.89390479,-25.72911479,28029.05579,28023.27299,5.782800659,67.38419543,-61.60139477,264.2714286,28439,27312.5,57.98490901,33.51682154,28438.277,27848.66182
2023-03-24 13:00,27965.6,27999.9,27639,27963.9,46614.649,-6.44E-05,0.007783438,27824.88003,13288.08595,200662,1297047016,27955.6707,28023.98742,-68.31672736,-60.86303382,-7.453693542,28019.03182,28018.87499,0.156832282,53.9387228,-53.78189052,271.0928571,28369.1,27312.5,61.65057732,47.15471974,28439.55546,27801.35707
2023-03-24 14:00,27963.9,28260,27801.7,27976.6,69288.19,0.000454157,0.007102623,28027.05419,16570.23055,248657,1941943856,27961.6505,28017.21779,-55.56729428,-58.744738,3.177443725,28012.50385,28015.74351,-3.239659549,42.50304633,-45.74270588,289.3928571,28334,27312.5,65.01223691,61.54924108,28438.77771,27795.45983
2023-03-24 15:00,27976.6,28069.7,27827.7,27997.2,34310.012,0.00073633,0.005932586,27942.41574,16849.70995,142261,958704619.2,27971.8075,28014.35811,-42.55060895,-52.26708638,9.716477432,28010.14941,28014.36992,-4.220504607,33.15833614,-37.37884075,292.8214286,28334,27312.5,67.0288791,64.56389778,28441.67723,27782.53081
2023-03-24 16:00,27997.2,28040,27811.7,27817.3,22566.803,-0.006425643,0.006052733,27922.96167,19917.97184,100790,630131975.1,27927.6625,27986.20695,-58.54445022,-54.77803191,-3.766418303,27980.48027,27999.77214,-19.29187319,22.66829428,-41.96016747,295.9357143,28334,27312.5,49.41752325,60.48621309,28435.13093,27761.07747
2023-03-24 17:00,27817.3,27903.3,27501,27602.8,57711.485,-0.007711029,0.006208643,27683.7384,19030.59984,210744,1597669653,27834.84464,27931.43453,-96.58988568,-71.50277342,-25.08711226,27922.37561,27970.3668,-47.9911862,8.536398181,-56.52758438,318.6,28334,27312.5,28.41899168,48.28846468,28460.29656,27691.99044
2023-03-24 18:00,27602.7,27814.4,27552.5,27728.1,27788.273,0.004539395,0.006307865,27676.73719,15467.37819,109937,769088728.9,27804.34617,27902.38674,-98.04056512,-82.1178901,-15.92267502,27892.48706,27952.42111,-59.93405325,-5.157692105,-54.77636114,325.15,28334,27312.5,40.68526676,39.50726056,28472.0006,27631.06378
2023-03-24 19:00,27728.1,27871,27672.4,27811.3,20372.019,0.003000566,0.006314826,27794.42313,12095.21585,82898,566228516.2,27806.33298,27889.37435,-83.0413662,-82.48728054,-0.55408566,27879.99674,27941.9677,-61.97095418,-16.52034452,-45.45060966,326.5071429,28334,27312.5,48.83015174,39.31147006,28439.06791,27610.61011
2023-03-24 20:00,27811.4,27854.4,27464.2,27577,26459.97,-0.008424633,0.006519273,27649.82294,15723.35432,108794,731613485.5,27740.80927,27844.74944,-103.9401682,-91.06843562,-12.87173262,27833.38186,27914.93305,-81.55119332,-29.52651428,-52.02467904,346.2357143,28310,27312.5,26.51629073,38.67723641,28420.23855,27565.78133
